Quote,Author,Book Title
“Be yourself; everyone else is already taken.”,Oscar Wilde,
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,
"“So many books, so little time.”",Frank Zappa,
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,
"“You only live once, but if you do it right, once is enough.”",Mae West,
“Be the change that you wish to see in the world.”,Mahatma Gandhi,
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”",J.K. Rowling,Harry Potter and the Goblet of Fire
“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”,Albert Camus,
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”",C.S. Lewis,The Four Loves
"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou,
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,Martin Luther King Jr.,A Testament of Hope: The Essential Writings and Speeches
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,
“We accept the love we think we deserve.”,Stephen Chbosky,The Perks of Being a Wallflower
"“Without music, life would be a mistake.”",Friedrich Nietzsche,Twilight of the Idols
“I am so clever that sometimes I don't understand a single word of what I am saying.”,Oscar Wilde,The Happy Prince and Other Stories
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Steve Jobs,
"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe,
“It is better to be hated for what you are than to be loved for what you are not.”,Andre Gide,Autumn Leaves
“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,H. Jackson Brown Jr.,P.S. I Love You
"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”",Bob Marley,
"“All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.”",J.R.R. Tolkien,The Fellowship of the Ring
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,Northanger Abbey
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,Harry Potter and the Chamber of Secrets
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,
“It does not do to dwell on dreams and forget to live.”,J.K. Rowling,Harry Potter and the Sorcerer's Stone
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,
"“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”",John Green,The Fault in Our Stars
"“We are all in the gutter, but some of us are looking at the stars.”",Oscar Wilde,Lady Windermere's Fan
"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”",Neil Gaiman,Coraline
"“The fool doth think he is wise, but the wise man knows himself to be a fool.”",William Shakespeare,As You Like It
"“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”",Maurice Switzer,"Mrs. Goose, Her Book"
"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”",Mark Twain,
“Life is what happens to us while we are making other plans.”,Allen Saunders,
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",Bill Keane,
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,
“The man who does not read has no advantage over the man who cannot read.”,Mark Twain,
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,100 Love Sonnets
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",douglas adams,The Long Dark Tea-Time of the Soul
“If you don't stand for something you will fall for anything.”,Gordon A. Eadie,
"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”",Groucho Marx,The Essential Groucho: Writings For By And About Groucho Marx
“I solemnly swear that I am up to no good.”,J.K. Rowling,Harry Potter and the Prisoner of Azkaban
“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”,Albert Einstein,
"“Love all, trust a few,Do wrong to none: be able for thine enemyRather in power than use; and keep thy friendUnder thy own life's key: be check'd for silence,But never tax'd for speech.”",William Shakespeare,All's Well That Ends Well
“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”,Neil Gaiman,"The Sandman, Vol. 9: The Kindly Ones"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,
"“A day without sunshine is like, you know, night.”",Steve Martin,
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,A Dance with Dragons
“Never put off till tomorrow what may be done day after tomorrow just as well.”,Mark Twain,
"“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”",Lao Tzu,
“,Kent M. Keith,The Silent Revolution: Dynamic Leadership in the Student Council
“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”,Dr. Seuss,"Oh, the Places You’ll Go!"
“That which does not kill us makes us stronger.”,Friedrich Nietzsche,
“It is never too late to be what you might have been.”,George Eliot,
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,Harry Potter and the Sorcerer's Stone
“I love deadlines. I love the whooshing noise they make as they go by.”,Douglas Adams,The Salmon of Doubt
"“If you judge people, you have no time to love them.”",Mother Teresa,
"“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”",Sarah Dessen,The Truth About Forever
"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”",Friedrich Nietzsche,
“There is no greater agony than bearing an untold story inside you.”,Maya Angelou,I Know Why the Caged Bird Sings
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,Norwegian Wood
