Quote,Author,Book Title
Be yourself; everyone else is already taken.,oscar wilde,
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",marilyn monroe,
"So many books, so little time.",frank zappa,
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,albert einstein,
A room without books is like a body without a soul.,marcus tullius cicero,
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",bernard m. baruch,
"You've gotta dance like there's nobody watching,
Love like you'll never be hurt,
Sing like there's nobody listening,
And live like it's heaven on earth.",william w. purkey,
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,dr. seuss,
"You only live once, but if you do it right, once is enough.",mae west,
Be the change that you wish to see in the world.,mahatma gandhi,
In three words I can sum up everything I've learned about life: it goes on.,robert frost,
"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",j.k. rowling,Harry Potter and the Goblet of Fire
"Don’t walk in front of me… I may not follow
Don’t walk behind me… I may not lead
Walk beside me… just be my friend",albert camus,
"If you tell the truth, you don't have to remember anything.",mark twain,
"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .",c.s. lewis,The Four Loves
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",maya angelou,
A friend is someone who knows all about you and still loves you.,elbert hubbard,
"To live is the rarest thing in the world. Most people exist, that is all.",oscar wilde,
Always forgive your enemies; nothing annoys them so much.,oscar wilde,
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,martin luther king jr.,A Testament of Hope: The Essential Writings and Speeches
Live as if you were to die tomorrow. Learn as if you were to live forever.,mahatma gandhi,
We accept the love we think we deserve.,stephen chbosky,The Perks of Being a Wallflower
"Without music, life would be a mistake.",friedrich nietzsche,Twilight of the Idols
I am so clever that sometimes I don't understand a single word of what I am saying.,oscar wilde,The Happy Prince and Other Stories
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,ralph waldo emerson,
"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",steve jobs,
"Insanity is doing the same thing, over and over again, but expecting different results.",narcotics anonymous,
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",marilyn monroe,
It is better to be hated for what you are than to be loved for what you are not.,andre gide,Autumn Leaves
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,h. jackson brown jr.,P.S. I Love You
"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",bob marley,
"All that is gold does not glitter,
Not all those who wander are lost;
The old that is strong does not wither,
Deep roots are not reached by the frost.

From the ashes a fire shall be woken,
A light from the shadows shall spring;
Renewed shall be blade that was broken,
The crownless again shall be king.",j.r.r. tolkien,The Fellowship of the Ring
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",jane austen,Northanger Abbey
"It is our choices, Harry, that show what we truly are, far more than our abilities.",j.k. rowling,Harry Potter and the Chamber of Secrets
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",marilyn monroe,
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,albert einstein,
It does not do to dwell on dreams and forget to live.,j.k. rowling,Harry Potter and the Sorcerer's Stone
"Good friends, good books, and a sleepy conscience: this is the ideal life.",mark twain,
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",john green,The Fault in Our Stars
"We are all in the gutter, but some of us are looking at the stars.",oscar wilde,Lady Windermere's Fan
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",neil gaiman,Coraline
"The fool doth think he is wise, but the wise man knows himself to be a fool.",william shakespeare,As You Like It
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",maurice switzer,"Mrs. Goose, Her Book"
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",mark twain,
Life is what happens to us while we are making other plans.,allen saunders,
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",bill keane,
"I have not failed. I've just found 10,000 ways that won't work.",thomas a. edison,
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",friedrich nietzsche,
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",elie wiesel,
The man who does not read has no advantage over the man who cannot read.,mark twain,
A woman is like a tea bag; you never know how strong it is until it's in hot water.,eleanor roosevelt,
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",pablo neruda,100 Love Sonnets
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",douglas adams,The Long Dark Tea-Time of the Soul
If you don't stand for something you will fall for anything.,gordon a. eadie,
"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",groucho marx,The Essential Groucho: Writings For By And About Groucho Marx
I solemnly swear that I am up to no good.,j.k. rowling,Harry Potter and the Prisoner of Azkaban
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,albert einstein,
"Love all, trust a few,
Do wrong to none: be able for thine enemy
Rather in power than use; and keep thy friend
Under thy own life's key: be check'd for silence,
But never tax'd for speech.",william shakespeare,All's Well That Ends Well
Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,neil gaiman,"The Sandman, Vol. 9: The Kindly Ones"
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",dr. seuss,
"A day without sunshine is like, you know, night.",steve martin,
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",george r.r. martin,A Dance with Dragons
Never put off till tomorrow what may be done day after tomorrow just as well.,mark twain,
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",lao tzu,
"
The Paradoxical Commandments


People are illogical, unreasonable, and self-centered.
Love them anyway.

If you do good, people will accuse you of selfish ulterior motives.
Do good anyway.

If you are successful, you will win false friends and true enemies.
Succeed anyway.

The good you do today will be forgotten tomorrow.
Do good anyway.

Honesty and frankness make you vulnerable.
Be honest and frank anyway.

The biggest men and women with the biggest ideas can be shot down by the smallest men and women with the smallest minds.
Think big anyway.

People favor underdogs but follow only top dogs.
Fight for a few underdogs anyway.

What you spend years building may be destroyed overnight.
Build anyway.

People really need help but may attack you if you do help them.
Help people anyway.

Give the world the best you have and you'll get kicked in the teeth.
Give the world the best you have anyway.",kent m. keith,The Silent Revolution: Dynamic Leadership in the Student Council
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,dr. seuss,"Oh, the Places You’ll Go!"
That which does not kill us makes us stronger.,friedrich nietzsche,
It is never too late to be what you might have been.,george eliot,
For every minute you are angry you lose sixty seconds of happiness.,ralph waldo emerson,
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",marilyn monroe,
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",j.k. rowling,Harry Potter and the Sorcerer's Stone
I love deadlines. I love the whooshing noise they make as they go by.,douglas adams,The Salmon of Doubt
"If you judge people, you have no time to love them.",mother teresa,
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",sarah dessen,The Truth About Forever
"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",friedrich nietzsche,
There is no greater agony than bearing an untold story inside you.,maya angelou,I Know Why the Caged Bird Sings
"If you can't explain it to a six year old, you don't understand it yourself.",albert einstein,
