Quote,Author
Better to know a few things which are good and necessary than many things which are useless and mediocre.,Leo Tolstoy
"The difference between real material poison and intellectual poison is that most material poison is disgusting to the taste, but intellectual poison, which takes the form of cheap newspapers or bad books, can unfortunately sometimes be attractive.",Leo Tolstoy
"One of the worst prejudices known is held by the majority of the so-called scholars of our time, who claim that a person can live without faith.",Leo Tolstoy
"The essential meaning of every religion is to answer the question “Why do I live, and what is my attitude to the limitless world which surrounds me?” There is not a single religion, from the most sophisticated to the most primitive, which does not have as its basis the definition of this attitude of a person to the world.",Leo Tolstoy
The life of a person without faith is the life of an animal.,Leo Tolstoy
"The most important question to keep before ourselves at all times is this: Do we do the right thing? During this short period of time which we call our life, do our acts conform to the will of the force that sent us into the world? Do we do the right thing?",Leo Tolstoy
"When I am in difficult circumstances, I ask God to help me. But it is my duty to serve the Lord, and not His to serve me. As soon as I remember this, my burden becomes lighter.",Leo Tolstoy
"Just imagine that the purpose of your life is your happiness only—then life becomes a cruel and senseless thing. You have to embrace what the wisdom of humanity, your intellect, and your heart tell you: that the meaning of life is to serve the force that sent you into the world. Then life becomes a constant joy.",Leo Tolstoy
"Even if we don’t want to, we can’t help but feel our connection to the rest of mankind: we are connected by industry, by trade, by art, by knowledge, and most importantly, by our common mortality.",Leo Tolstoy
The history of mankind is the movement of humanity toward greater and greater unification.,Leo Tolstoy
"Sometimes, the damage done by our words is obvious and sometimes it isn’t, but the damage is not any smaller for our not being able to see those people who suffer from our words.",Leo Tolstoy
Be afraid to destroy the unity of people by stirring bad feelings amongst them against another with your words.,Leo Tolstoy
"It’s important to strive to do good, and even more important to strive to abstain from evil.",Leo Tolstoy
"No matter how many times yon aim to achieve victory over your passions, do not give tip. Every effort weakens the power of passion and makes it easier to gain victory over it.",Leo Tolstoy
"Kindness is necessary in relationships with people. If you are not kind to a person, you are not fulfilling your major obligation.",Leo Tolstoy
"The kinder and the more thoughtful a person is, the more kindness he can find in other people.",Leo Tolstoy
"Kindness enriches our life; with kindness mysterious things become clear, difficult things become easy, and dull things become cheerful.",Leo Tolstoy
"Christian teaching is so simple that even small children can understand its meaning. Those people cannot understand it, and only those, who want to seem and to be called Christians without being real Christians.",Leo Tolstoy
"Buddha said, “A man who starts to live for his soul is like a man who brings a lantern into a dark house. The darkness disappears at once. You have to be persistent in this, and your soul will have this light.”",Leo Tolstoy
"Christ expressed all His teachings in His last commandment: “Love each other, as I loved you. Everyone will see that you are my disciples, if you love each other.” He did not say, “If you believe,” but “If you love.” Faith can change with time, because our knowledge is constantly changing. Love, on the contrary, never changes; love is eternal.",Leo Tolstoy
My religion is love to all living beings.,Leo Tolstoy
"In order to fulfill Christianity, we have to destroy its perversions and restore its purity.",Leo Tolstoy
"Knowledge is real knowledge only when it is acquired by the efforts of your intellect, not by memory.",Leo Tolstoy
"A thought can advance your life in the right direction only when it answers questions which were asked by your soul. A thought which was first borrowed from someone else and then accepted by your mind and memory does not really much influence your life, and sometimes leads you in the wrong direction.",Leo Tolstoy
"Read less, study less, but think more. Learn, both from your teachers and from the books which you read, only those things which you really need and which you really want to know.",Leo Tolstoy
"The basis of all education is the establishment of our relationship to the beginning of all things, and the conclusions about our behavior which may be drawn from this.",Leo Tolstoy
Religious upbringing is the basis of all education.,Leo Tolstoy
"Perfection is impossible without humility. “Why should I strive for perfection, if I am already good enough?”",Leo Tolstoy
"Remember all the bad things which you have done, and try to avoid doing bad things again. Remembering only your good deeds will interfere with your doing good in the future.",Leo Tolstoy
"There are people who take responsibility for making decisions for others and determining their relationship to God and to the world; and there are people, the overwhelming majority of them, who give this authority to the others, and blindly believe in everything they are told. Both groups of people commit an equal crime.",Leo Tolstoy
"A man should use that spiritual heritage which he has received from the wise and holy people of the past, but he should test everything with his intellect, accepting certain things and rejecting others.",Leo Tolstoy
Every person should define for himself his attitude to this world and to God.,Leo Tolstoy
Faith is the understanding of the meaning of life and the acceptance of those duties and responsibilities connected to it.,Leo Tolstoy
"You should not worry too much about what will happen after death. Deliver yourself to the divine creature and bless it: you know that it is love, therefore, why should you be afraid?",Leo Tolstoy
"When Christ died, he said, “Father! I deliver my spirit into Thy hands.” Those who say these words, not with their tongue but with all their heart, do not need anything else. If my spirit returns back to its Father, this is the best place for it, and nothing can be better.",Leo Tolstoy
Don’t think that you can find peace for your soul without faith.,Leo Tolstoy
"You should love only one thing in yourself, that which is the same in all of us. In loving that which is the same in all of us, you love God.",Leo Tolstoy
People live by love: love of yourself is the beginning of death; love of other people and of God is the beginning of life.,Leo Tolstoy
"Love is not a source, it is a consequence of our understanding the divine, spiritual beginning which exists in all of us.",Leo Tolstoy
The greatest truth of the teachings of Christ is the direct connection between a man (God’s son) and God (His Father).,Leo Tolstoy
Beware of everything which puts an obstacle between you and God.,Leo Tolstoy
False faith is the major cause of most of our misfortunes.,Leo Tolstoy
